,tconst,primary_title,original_title,start_year,runtime_minutes,genres,country,budget,ww_gross,ww_currency,domestic_gross_x,domestic_currency,int_gross,int_currency,release_date_x,mpaa_rating,tmdb_id
121,tt0960864,"Truth in Numbers? Everything, According to Wikipedia","Truth in Numbers? Everything, According to Wikipedia",2010,85.0,Documentary,US,"{'amount': 500000.0, 'currency': 'USD'}",,,,,,,2012-03-07,Not Rated,74322.0
122,tt0963292,Feast of the Assumption: BTK and the Otero Family Murders,Feast of the Assumption: The Otero Family Murders,2010,86.0,"Crime,Documentary",US,"{'amount': 50000.0, 'currency': 'USD'}",,,,,,,2012-01-15,Not Rated,184701.0
123,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",US,"{'amount': 150000000, 'currency': 'USD'}",215283742.0,USD,63150991.0,USD,152132751.0,USD,2010-07-14,PG,
124,tt0964517,The Fighter,The Fighter,2010,116.0,"Biography,Drama,Sport",US,"{'amount': 25000000, 'currency': 'USD'}",129190869.0,USD,93617009.0,USD,35573860.0,USD,2010-12-17,R,
125,tt0964544,Pushin' Up Daisies,Pushin' Up Daisies,2010,87.0,Comedy,US,,,,,,,,2010-06-25,Not Rated,159315.0
126,tt0965424,Have You Heard from Johannesburg: Hell of a Job,Have You Heard from Johannesburg: Hell of a Job,2010,57.0,Documentary,US,,,,,,,,2010-04-14,,718363.0
127,tt0965425,Have You Heard from Johannesburg: Road to Resistance,Have You Heard from Johannesburg: Road to Resistance,2010,65.0,Documentary,US,,,,,,,,2010-04-14,,46679.0
128,tt0968264,The Conspirator,The Conspirator,2010,122.0,"Crime,Drama,History",US,"{'amount': 25000000, 'currency': 'USD'}",15625544.0,USD,11538204.0,USD,4087340.0,USD,2011-04-15,PG-13,
129,tt0969653,White Wall,White Wall,2010,91.0,"Action,Mystery,Sci-Fi",US,"{'amount': 250000.0, 'currency': 'USD'}",,,,,,,2010-05-25,Not Rated,36511.0
130,tt0970866,Little Fockers,Little Fockers,2010,98.0,"Comedy,Romance",US,"{'amount': 100000000, 'currency': 'USD'}",310650585.0,USD,148438600.0,USD,162211985.0,USD,2010-12-22,PG-13,
131,tt0970926,The Chosen One,The Chosen One,2010,101.0,"Comedy,Drama",US,"{'amount': 7500000.0, 'currency': 'USD'}",,,,,,,2010-09-03,PG-13,44219.0
132,tt0972815,Have You Heard from Johannesburg: Fair Play,Have You Heard from Johannesburg: Fair Play,2010,96.0,Documentary,US,,,,,,,,2010-04-14,,718369.0
