,tconst,mpaa_rating,release_date
860,tt1590295,Not Rated,2010-01-09
861,tt1591095,PG-13,2011-04-01
862,tt1591479,R,2012-02-24
863,tt1592873,PG-13,2012-05-04
864,tt1594562,R,2011-03-12
865,tt1594972,PG,2016-01-15
866,tt1595061,Not Rated,2012-04-13
867,tt1595656,R,2013-04-12
868,tt1596343,PG-13,2011-04-29
869,tt1596345,PG-13,2015-09-25
870,tt1596346,PG,2011-04-08
871,tt1596363,R,2015-12-23
872,tt1596753,PG-13,2013-09-06
873,tt1597089,Unrated,2011-01-05
874,tt1598822,PG-13,2011-12-09
875,tt1598828,PG-13,2012-01-27
876,tt1600195,PG-13,2011-09-23
877,tt1600196,R,2014-09-12
878,tt1600435,PG,2011-06-03
879,tt1601475,R,2011-01-28
880,tt1601913,R,2012-01-27
881,tt1603257,R,2012-03-02
882,tt1603489,Not Rated,2011-09-16
883,tt1604171,PG,2011-04-29
884,tt1604589,PG-13,2012-09-21
885,tt1605630,R,2012-04-06
886,tt1605765,Not Rated,2010-09-17
887,tt1605782,PG-13,2012-03-02
888,tt1605791,PG-13,2015-08-10
