,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
1822,tt2245195,The History of Future Folk,2012,86.0,"Comedy,Music,Sci-Fi",,17646.0,Not Rated,5.0
1823,tt2246526,Born to Fly: Elizabeth Streb vs. Gravity,2014,82.0,"Action,Biography,Documentary","{'amount': 500000.0, 'currency': 'USD'}",24630.0,Not Rated,3.0
1824,tt2246565,An Honest Liar,2014,90.0,"Biography,Comedy,Documentary",,180590.0,Not Rated,4.0
1825,tt2247432,Go for Sisters,2013,123.0,"Crime,Drama,Thriller",,70495.0,Unrated,3.0
1826,tt2247476,When the Game Stands Tall,2014,115.0,"Drama,Family,Sport","{'amount': 15000000, 'currency': 'USD'}",30138754.0,PG,8.0
1827,tt2247692,2016: Obama's America,2012,87.0,Documentary,"{'amount': 2500000.0, 'currency': 'USD'}",33449086.0,PG,8.0
1828,tt2247696,Out of the Clear Blue Sky,2012,107.0,Documentary,,16050.0,Not Rated,8.0
1829,tt2250380,Next Year Jerusalem,2013,72.0,"Biography,Documentary",,8093.0,,9.0
1830,tt2250912,Spider-Man: Homecoming,2017,133.0,"Action,Adventure,Sci-Fi","{'amount': 175000000, 'currency': 'USD'}",880166924.0,PG-13,7.0
1831,tt2258345,Fading Gigolo,2013,90.0,Comedy,,22706304.0,R,3.0
1832,tt2260060,Yangsi,2012,82.0,"Biography,Documentary",,4008.0,Not Rated,1.0
1833,tt2260728,This Binary Universe,2012,107.0,Documentary,,15875.0,Not Rated,5.0
1834,tt2261409,Made in Cleveland,2013,113.0,Comedy,,10681.0,Not Rated,6.0
1835,tt2262227,The Book of Life,2014,95.0,"Adventure,Animation,Comedy","{'amount': 50000000, 'currency': 'USD'}",99783556.0,PG,10.0
1836,tt2262315,The Good Neighbor,2016,98.0,"Crime,Drama,Horror",,90573.0,Not Rated,3.0
1837,tt2263520,Ride Along,2012,87.0,Action,,154400000.0,Not Rated,8.0
1838,tt2265398,Drinking Buddies,2013,90.0,"Comedy,Drama,Romance",,401914.0,R,7.0
1839,tt2265431,Me You and Five Bucks,2013,93.0,"Comedy,Drama,Romance",,2105.0,Not Rated,7.0
1840,tt2267968,Kung Fu Panda 3,2016,95.0,"Action,Adventure,Animation","{'amount': 145000000, 'currency': 'USD'}",521170825.0,PG,1.0
1841,tt2267998,Gone Girl,2014,149.0,"Drama,Mystery,Thriller","{'amount': 61000000, 'currency': 'USD'}",369330363.0,R,10.0
1842,tt2268016,Magic Mike XXL,2015,115.0,"Comedy,Drama,Music","{'amount': 14800000, 'currency': 'USD'}",117813057.0,R,7.0
1843,tt2272336,Ghost Team One,2013,84.0,"Comedy,Horror",,9195.0,R,1.0
1844,tt2273471,Oxygen for the Ears: Living Jazz,2012,94.0,"Documentary,History,Music",,23048.0,Not Rated,6.0
1845,tt2273657,True Story,2015,99.0,"Crime,Drama,Mystery",,5261595.0,R,4.0
1846,tt2274570,Bad Milo!,2013,85.0,"Comedy,Horror",,19613.0,R,8.0
1847,tt2274648,Hellboy,2019,120.0,"Action,Adventure,Fantasy","{'amount': 50000000, 'currency': 'USD'}",55065289.0,R,4.0
1848,tt2275471,A Perfect Man,2013,95.0,"Drama,Romance","{'amount': 5000000.0, 'currency': 'USD'}",14147.0,R,11.0
1849,tt2275549,Bill W.,2012,104.0,"Biography,Documentary,History",,809590.0,Unrated,5.0
1850,tt2275629,Cliffs of Freedom,2019,137.0,Drama,,300842.0,R,3.0
1851,tt2276023,The United States of Autism,2013,93.0,"Biography,Documentary,Family","{'amount': 65000, 'currency': 'USD'}",100403.0,,4.0
1852,tt2276069,A Master Builder,2013,130.0,Drama,,46874.0,Not Rated,6.0
1853,tt2277150,Aatsinki: The Story of Arctic Cowboys,2013,84.0,"Biography,Documentary,Western",,6601.0,Not Rated,4.0
1854,tt2277860,Finding Dory,2016,97.0,"Adventure,Animation,Comedy","{'amount': 200000000.0, 'currency': 'USD'}",1028570942.0,PG,6.0
1855,tt2278388,The Grand Budapest Hotel,2014,99.0,"Adventure,Comedy,Crime","{'amount': 25000000, 'currency': 'USD'}",172945750.0,R,3.0
1856,tt2279339,Love the Coopers,2015,107.0,"Comedy,Fantasy,Romance","{'amount': 17000000, 'currency': 'USD'}",42426912.0,PG-13,11.0
1857,tt2279373,The SpongeBob Movie: Sponge Out of Water,2015,92.0,"Adventure,Animation,Comedy","{'amount': 74000000, 'currency': 'USD'}",325186032.0,PG,2.0
1858,tt2279922,Return to Nuke 'Em High Volume 1,2013,85.0,"Comedy,Horror,Sci-Fi",,5122.0,Not Rated,11.0
1859,tt2280836,Sweet Dreams,2012,89.0,"Documentary,Drama,History",,59403.0,,6.0
1860,tt2281159,Contracted,2013,84.0,"Drama,Horror,Thriller",,58221.0,Not Rated,11.0
1861,tt2281267,Gregory Crewdson: Brief Encounters,2012,78.0,"Biography,Documentary,Drama",,60064.0,Not Rated,10.0
1862,tt2281587,Muppets Most Wanted,2014,107.0,"Adventure,Comedy,Crime","{'amount': 50000000, 'currency': 'USD'}",80383113.0,PG,3.0
1863,tt2282016,The Possession of Michael King,2014,83.0,Horror,,2405143.0,R,8.0
1864,tt2282662,Our Nixon,2013,84.0,"Biography,Crime,Documentary",,20584.0,Not Rated,3.0
1865,tt2283362,Jumanji: Welcome to the Jungle,2017,119.0,"Action,Adventure,Comedy","{'amount': 90000000, 'currency': 'USD'}",962542945.0,PG-13,12.0
1866,tt2287170,Man from Reno,2014,111.0,"Crime,Drama,Mystery",,101438.0,Not Rated,3.0
1867,tt2287621,A Zombie Invasion,2012,94.0,Horror,,1170.0,Not Rated,12.0
1868,tt2289920,Justice Is Mind,2013,153.0,"Crime,Drama,Mystery","{'amount': 25000.0, 'currency': 'USD'}",14360.0,Not Rated,9.0
